gold	param	spearman_r	p_value	n
sspg	si	0.4285714285714286	0.3965014577259474	6
sspg	mi	0.4285714285714286	0.3965014577259474	6
sspg	tau_m	0.028571428571428574	0.9571545189504373	6
sspg	sg	0.08571428571428573	0.8717434402332361	6
di	si	0.08571428571428573	0.8717434402332361	6
di	mi	0.08571428571428573	0.8717434402332361	6
di	tau_m	0.08571428571428573	0.8717434402332361	6
di	sg	0.2	0.704	6
homa_ir	si	-0.07142857142857144	0.8790481931481541	7
homa_ir	mi	-0.07142857142857144	0.8790481931481541	7
homa_ir	tau_m	0.07142857142857144	0.8790481931481541	7
homa_ir	sg	-0.21428571428571433	0.6445115810207203	7
homa_b	si	-0.14285714285714288	0.7599453002180929	7
homa_b	mi	-0.14285714285714288	0.7599453002180929	7
homa_b	tau_m	-0.07142857142857144	0.8790481931481541	7
homa_b	sg	-0.1785714285714286	0.7016579425162729	7
