gold	param	spearman_r	p_value	n
sspg	si	0.1785714285714286	0.7016579425162729	7
sspg	mi	-0.10714285714285716	0.8191508555699912	7
sspg	tau_m	-0.642857142857143	0.11939237342741094	7
sspg	sg	-0.7857142857142859	0.03623846267982714	7
di	si	-0.5	0.2531699951003227	7
di	mi	-0.1785714285714286	0.7016579425162729	7
di	tau_m	0.6071428571428572	0.1482311614811614	7
di	sg	-0.03571428571428572	0.9394082054712856	7
homa_ir	si	0.39285714285714296	0.38331687042697266	7
homa_ir	mi	0.1785714285714286	0.7016579425162729	7
homa_ir	tau_m	-0.642857142857143	0.11939237342741094	7
homa_ir	sg	-0.3214285714285715	0.4820720382996776	7
homa_b	si	-0.3571428571428572	0.4316113520383278	7
homa_b	mi	-0.4642857142857144	0.2939341076002517	7
homa_b	tau_m	0.4642857142857144	0.2939341076002517	7
homa_b	sg	-0.14285714285714288	0.7599453002180929	7
